1,"@daveweigel my regret about ""avengers: endgame"" is it didn't come out late enough for the characters to ponder these questions."
2,"1. toy story 4
2. avengers: endgame
3. birds of passage
4. cold pursuit
5. her smell
6. yesterday
7. hail satan?
8. how to train your dragon: the hidden world
9. the last black man in san francisco
10. us"
3,"this week.. #superman makes his @dccomics #blacklabel debut, @avengers endgame takes one last run at avatar. and we pick our top 3 movies we want released back on the big screen!  #podcast #podernfamily #popculture https://t.co/ehxrbe1upq"
4,"he’s not just your friendly neighborhood spider-man anymore.

director jon watts and actor jacob batalon on how #spidermanfarfromehome addresses life after ""avengers: endgame"" and pushes peter parker to question his superhero path: https://t.co/ix0ojwvhsc https://t.co/z7u6wcadu8"
5,the fans aren't happy with it. https://t.co/wtlyg9wkeo
6,the new avengers: endgame re-release footage explained https://t.co/i0ezt5rnfv https://t.co/kydtkzpgpn
7,"weekend box office: toy story 4 dominates, avengers: endgame doesn’t break all-time record

https://t.co/qil9uac9qu https://t.co/ti6humqzrh"
8,"avengers: endgame needs
$30 mln. to pass avatar as
#1 worldwide."
9,"@odeoncinemas yesterday - predictable but enjoyable. 
avengers endgame - i'm still crying."
10,"how was the avengers endgame re-release footage? /film
https://t.co/agg5vq8bnv"
11,controversial opinion: i enjoyed jumanji: welcome to the jungle more than avengers: endgame.
12,how was the ‘avengers: endgame’ re-release bonus footage? https://t.co/q6klo8myov https://t.co/edmjszk4c4
13,"the fact that the only version of avengers endgame online at the moment is a cinema cam recording is an absolute disgrace. get yer finger out, thieves."
14,"said it before and i’ll say it again. 15-20 million shy is where it lands. it’ll have to do a rerelease months later. not sandwiched boy toy story and spider-man

avengers: endgame $27m shy of avatar's global box office record after 'bring back' re-release https://t.co/vjubrgbmgj"
15,how was the avengers endgame re-release footage? /film https://t.co/qsqgmipn48 https://t.co/o1bovkgddp
16,"exclusive items received from marvel studios avengers: endgame - spider-man: far from home movie marathon at golden village cinema in jurong point shopping centre.

items includes:

1 x avengers: endgame poster, 
1… https://t.co/mdsqfpbaqz"
17,post credit scenes for avengers endgame re-release ! https://t.co/ehgylj1b1l
18,'avengers: endgame' marketing will only show the first 15 minutes https://t.co/serbc9hc5d
19,"indiegames: avengers: endgame makes $5.5 million with re-release, as toy story 4 stays no. 1 at us box office https://t.co/epv5lsdbvp https://t.co/arwbtfyfjq"
20,@team_mcclean keep your head up buddy!!  i have a shoulder in a sling with a repaired shoulder from hockey injuries...not being able to do what you want sucks doesn’t it?  keep on smiling...what did you think of avengers: endgame?  see it yet? catch the stan lee tribute after the credits? 👍😔
21,'avatar' stays ahead of 'avengers: endgame' https://t.co/u5rzvyzc7v
22,dammit! 'avengers: endgame' won't be surpassing 'avatar' at the all-time box office (for now) https://t.co/or26ogmrm0 via @uproxx
23,how was the 'avengers: endgame' re-release bonus footage? https://t.co/xobf02pcc8 https://t.co/dhcvzi466h
24,"hello good morning, i need everyone to go out to your local theaters and i need you to watch avengers: endgame ... thanks"
25,captain america funko pop signed by chris evans - avengers: endgame https://t.co/6iiyoy23to https://t.co/kwldowuey2
26,avengers endgame: chris evans speaks out on captain america time travel plot hole https://t.co/csdiuewa5m https://t.co/zfxq3w78oj
27,i am captain america!  https://t.co/tldjfkocwe
28,turns out that audi e-tron appearance in avengers endgame was compliant with new eu laws.  https://t.co/qxkfjesyro
29,183 (we’re ½ through!). spent time (/most midsummer-weekend) with my brother (happens 2-3 times a year) meaning (according to tradition) catching up on latest mcu again. so avengers: endgame (’19) is obviously a winner. personally liked a simple favor (’18) &amp; elizabeth (’98) too.
30,"halfway through a year of movies. my top 10 (so far):

us
#midsommar 
avengers: endgame
captain marvel
#spidermanfarfromhome 
pokemon: detective pikachu
kitbull 
late night
fyre
always be my maybe

the takeaway? it has been a very fun 2019!
#filmtwitter"
31,it’s finally here! we welcome back actor @danfranko to review and breakdown the mcu’s latest installment #avengersendgame⁠ ⁠! enjoy! https://t.co/1vnfomebcs
32,"infinity war
avengers
endgame
age of ultron

that is all"
33,"@therhetorrick btw, this is a really fun nerdy podcast about avengers and conservatism in the film.  https://t.co/lon1y10ktt"
